id,output_entity_id,input_entity_id,relation_type,connectivity,frequency
1,step_1,step_3,invoke,1,2
2,step_2,step_3,invoke,1,2
3,step_3,step_4,invoke,1,3
4,step_3,"iodata_[13, 14]",transfer,1,124
5,"iodata_[13, 14]",step_4,transfer,1,2
6,step_3,step_5,invoke,1,2
8,"iodata_[13, 14]",step_5,transfer,1,3
9,step_5,step_6,invoke,1,5
10,step_5,"iodata_[18, 19]",transfer,1,17
11,"iodata_[18, 19]",step_6,transfer,1,11
12,step_1,iodata_1,transfer,1,5
13,step_1,iodata_2,transfer,1,1
14,iodata_3,step_2,transfer,1,1
15,iodata_4,step_2,transfer,1,2
17,step_2,iodata_6,transfer,1,1
18,step_2,iodata_7,transfer,1,1
19,step_2,iodata_8,transfer,1,1
20,iodata_3,step_3,transfer,1,5
21,iodata_4,step_3,transfer,1,142
22,iodata_11,step_3,transfer,1,31
25,step_4,iodata_15,transfer,1,1
26,"iodata_[18, 19]",step_5,transfer,1,4
27,iodata_17,step_5,transfer,1,5
28,iodata_20,step_6,transfer,1,120
29,step_6,iodata_21,transfer,1,163
54,step_7,step_3,invoke,1,3
55,step_7,"iodata_[25, 28]",transfer,1,2
56,"iodata_[25, 28]",step_3,transfer,1,14
60,step_7,step_5,invoke,1,1
62,"iodata_[25, 28]",step_5,transfer,1,2
66,step_5,step_11,invoke,1,1
68,"iodata_[18, 19]",step_11,transfer,1,2
69,iodata_22,step_7,transfer,1,1
70,iodata_17,step_7,transfer,1,1
71,step_7,iodata_1,transfer,1,3
74,iodata_29,step_3,transfer,1,6
76,iodata_31,step_4,transfer,1,2
77,step_4,iodata_32,transfer,1,1
78,iodata_33,step_5,transfer,1,3
79,step_11,iodata_21,transfer,1,21
99,step_12,step_13,invoke,1,3
100,step_12,iodata_31,transfer,1,4
101,iodata_31,step_13,transfer,1,8
102,step_13,step_14,invoke,1,1
103,step_13,iodata_31,transfer,1,8
104,iodata_31,step_14,transfer,1,3
105,step_14,step_15,invoke,1,1
106,step_14,iodata_31,transfer,1,2
107,iodata_31,step_15,transfer,1,22
108,iodata_38,step_12,transfer,1,4
109,iodata_4,step_12,transfer,1,1
110,iodata_11,step_12,transfer,1,3
112,iodata_38,step_13,transfer,1,3
113,iodata_4,step_13,transfer,1,1
114,iodata_11,step_13,transfer,1,3
115,iodata_45,step_13,transfer,1,2
117,iodata_47,step_14,transfer,1,1
118,iodata_48,step_14,transfer,1,2
119,iodata_49,step_14,transfer,1,1
120,step_15,iodata_31,transfer,1,8
136,step_12,step_17,invoke,1,1
137,step_12,iodata_57,transfer,1,1
138,iodata_57,step_17,transfer,1,3
140,step_12,"iodata_[57, 65]",transfer,1,1
141,"iodata_[57, 65]",step_13,transfer,1,1
142,step_17,step_13,invoke,1,1
143,step_17,iodata_63,transfer,1,2
144,iodata_63,step_13,transfer,1,6
145,step_13,step_15,invoke,1,1
146,step_13,"iodata_[66, 67]",transfer,1,1
147,"iodata_[66, 67]",step_15,transfer,1,1
149,iodata_54,step_12,transfer,1,6
152,iodata_38,step_17,transfer,1,1
153,iodata_54,step_17,transfer,1,2
155,iodata_11,step_17,transfer,1,2
156,iodata_62,step_17,transfer,1,15
158,iodata_47,step_13,transfer,1,2
159,step_15,iodata_49,transfer,1,8
175,step_20,step_22,invoke,1,26
176,step_20,iodata_71,transfer,1,19
177,iodata_71,step_22,transfer,1,19
178,step_21,step_22,invoke,1,1
179,step_21,iodata_74,transfer,1,3
180,iodata_74,step_22,transfer,1,1
182,step_22,iodata_77,transfer,1,220
183,iodata_77,step_22,transfer,1,43
184,step_22,step_24,invoke,1,5
186,iodata_77,step_24,transfer,1,3
190,step_24,step_25,invoke,1,4
191,step_24,"iodata_[84, 85]",transfer,1,19
192,"iodata_[84, 85]",step_25,transfer,1,7
193,iodata_69,step_20,transfer,1,2
194,iodata_70,step_20,transfer,1,30
196,iodata_54,step_21,transfer,1,6
199,iodata_75,step_22,transfer,1,3
200,iodata_70,step_22,transfer,1,98
203,"iodata_[84, 85]",step_22,transfer,1,2
205,iodata_70,step_24,transfer,1,8
206,"iodata_[84, 85]",step_24,transfer,1,3
207,iodata_83,step_24,transfer,1,1
209,step_25,iodata_87,transfer,1,4
229,step_26,step_27,invoke,1,2
231,step_27,iodata_96,transfer,1,6
232,iodata_96,step_27,transfer,1,1
233,step_27,step_29,invoke,1,7
235,iodata_96,step_29,transfer,1,4
239,iodata_70,step_26,transfer,1,2
241,step_26,iodata_70,transfer,1,4
242,step_26,iodata_91,transfer,1,17
243,iodata_92,step_27,transfer,1,2
244,iodata_93,step_27,transfer,1,2
245,iodata_94,step_27,transfer,1,3
246,iodata_95,step_27,transfer,1,2
253,"iodata_[57, 65]",step_29,transfer,1,4
254,iodata_103,step_29,transfer,1,2
256,step_29,iodata_105,transfer,1,10
274,step_30,step_31,invoke,1,32
275,step_30,"iodata_[110, 111]",transfer,1,64
276,"iodata_[110, 111]",step_31,transfer,1,233
278,step_31,"iodata_[112, 113]",transfer,1,501
279,"iodata_[112, 113]",step_31,transfer,1,116
280,step_31,step_5,invoke,1,12
282,"iodata_[112, 113]",step_5,transfer,1,3
283,step_30,step_34,invoke,1,2
285,"iodata_[110, 111]",step_34,transfer,1,23
286,step_31,step_35,invoke,1,6
288,"iodata_[112, 113]",step_35,transfer,1,4
289,step_34,step_35,invoke,1,4
290,step_34,"iodata_[119, 120]",transfer,1,39
291,"iodata_[119, 120]",step_35,transfer,1,5
292,iodata_31,step_30,transfer,1,55
293,iodata_4,step_30,transfer,1,46
294,iodata_108,step_30,transfer,1,1
295,iodata_109,step_30,transfer,1,14
297,iodata_108,step_5,transfer,1,1
298,step_5,iodata_117,transfer,1,1
299,step_35,iodata_121,transfer,1,8
318,step_37,step_39,invoke,1,1
319,step_37,iodata_127,transfer,1,4
320,iodata_127,step_39,transfer,1,1
321,step_39,step_40,invoke,1,1
322,step_39,"iodata_[133, 134]",transfer,1,4
323,"iodata_[133, 134]",step_40,transfer,1,1
324,step_39,step_41,invoke,1,1
325,step_39,iodata_133,transfer,1,1
326,iodata_133,step_41,transfer,1,1
327,step_41,step_39,invoke,1,1
328,step_41,"iodata_[133, 134]",transfer,1,1
329,"iodata_[133, 134]",step_39,transfer,1,4
330,step_39,step_43,invoke,1,2
332,"iodata_[133, 134]",step_43,transfer,1,1
333,step_40,step_43,invoke,1,1
334,step_40,iodata_136,transfer,1,4
335,iodata_136,step_43,transfer,1,3
337,step_39,iodata_142,transfer,1,2
338,iodata_142,step_43,transfer,1,2
339,iodata_122,step_36,transfer,1,2
340,iodata_91,step_36,transfer,1,1
341,step_36,iodata_1,transfer,1,1
342,step_36,iodata_2,transfer,1,1
343,iodata_126,step_37,transfer,1,3
345,iodata_128,step_38,transfer,1,2
346,step_38,iodata_70,transfer,1,6
347,iodata_4,step_39,transfer,1,1
348,iodata_2,step_39,transfer,1,2
349,iodata_132,step_39,transfer,1,2
350,iodata_135,step_40,transfer,1,1
352,iodata_4,step_41,transfer,1,1
353,iodata_2,step_41,transfer,1,1
354,iodata_132,step_41,transfer,1,2
356,iodata_20,step_43,transfer,1,46
357,step_43,iodata_21,transfer,1,39
386,step_44,step_45,invoke,1,1
387,step_44,"iodata_[153, 154]",transfer,1,1
388,"iodata_[153, 154]",step_45,transfer,1,1
390,step_45,iodata_155,transfer,1,3
391,iodata_155,step_45,transfer,1,2
392,step_45,step_47,invoke,1,2
394,iodata_155,step_47,transfer,1,2
396,step_45,"iodata_[158, 159]",transfer,1,1
397,"iodata_[158, 159]",step_47,transfer,1,4
398,"iodata_[119, 120]",step_44,transfer,1,1
399,iodata_54,step_44,transfer,1,11
400,iodata_148,step_44,transfer,1,6
403,iodata_17,step_44,transfer,1,1
404,iodata_122,step_44,transfer,1,24
407,iodata_157,step_45,transfer,1,1
409,step_47,iodata_161,transfer,1,16
426,step_48,step_22,invoke,1,9
427,step_48,"iodata_[110, 111]",transfer,1,38
428,"iodata_[110, 111]",step_22,transfer,1,162
429,step_22,step_50,invoke,1,8
430,step_22,iodata_167,transfer,1,6
431,iodata_167,step_50,transfer,1,1
432,step_22,step_29,invoke,1,75
434,iodata_167,step_29,transfer,1,2
435,step_50,step_29,invoke,1,9
436,step_50,iodata_169,transfer,1,3
437,iodata_169,step_29,transfer,1,2
438,step_50,step_52,invoke,1,2
440,iodata_169,step_52,transfer,1,1
441,iodata_162,step_48,transfer,1,1
442,iodata_163,step_48,transfer,1,2
443,iodata_4,step_48,transfer,1,25
445,iodata_162,step_50,transfer,1,1
447,iodata_162,step_29,transfer,1,5
448,step_29,iodata_162,transfer,1,4
449,iodata_162,step_52,transfer,1,1
450,iodata_163,step_52,transfer,1,2
451,iodata_174,step_52,transfer,1,14
452,iodata_175,step_52,transfer,1,11
453,iodata_94,step_52,transfer,1,3
454,step_52,iodata_177,transfer,1,1
472,step_53,step_54,invoke,1,1
473,step_53,iodata_179,transfer,1,20
474,iodata_179,step_54,transfer,1,1
475,step_54,step_55,invoke,1,3
476,step_54,"iodata_[182, 183]",transfer,1,2
477,"iodata_[182, 183]",step_55,transfer,1,5
478,iodata_178,step_53,transfer,1,1
480,iodata_180,step_54,transfer,1,1
481,iodata_2,step_54,transfer,1,3
482,step_55,iodata_184,transfer,1,1
492,step_56,step_57,invoke,1,1
493,step_56,iodata_186,transfer,1,2
494,iodata_186,step_57,transfer,1,1
495,step_59,step_60,invoke,1,1
496,step_59,iodata_191,transfer,1,2
497,iodata_191,step_60,transfer,1,1
498,iodata_185,step_56,transfer,1,1
500,iodata_187,step_57,transfer,1,1
501,step_57,iodata_186,transfer,1,1
502,iodata_189,step_58,transfer,1,1
503,step_58,"iodata_[182, 183]",transfer,1,1
504,iodata_191,step_59,transfer,1,1
506,iodata_193,step_60,transfer,1,2
507,step_60,iodata_194,transfer,1,30
523,step_20,step_62,invoke,1,26
524,step_20,iodata_198,transfer,1,45
